employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
26-6553054,See,Messier,60,607,store manager,novice,1,smessier0@skyrock.com,340-384-4564,76815 Bartillon Junction,Ruble,BYR,603.90,5.12E+15,20-Apr-17,-99,ÈÑÒÈÍÀ
68-0206671,Peter,Iacovolo,42,486,sales representative,experienced,7,piacovolo1@mysql.com,610-667-6479,65 Wayridge Alley,Euro,EUR,819.77,3.38E+14,12-Apr-17,-99,ÈÑÒÈÍÀ
54-4240177,Brietta,Quye,33,640,sales coordinator,novice,1,bquye2@wikia.com,638-319-9884,8219 Ilene Way,Rupiah,IDR,590.39,3.58E+15,20-Jul-17,-99,ËÎÆÜ
64-0053629,Isac,Armytage,27,745,financial advisor,novice,5,iarmytage3@homestead.com,425-351-4369,452 Lakeland Crossing,Rupiah,IDR,647.67,3.54E+15,30-Dec-16,-99,ËÎÆÜ
33-9879449,Halie,Amdohr,38,782,assistant store manager,middle,12,hamdohr4@scientificamerican.com,251-274-6879,58953 Lotheville Circle,Ruble,RUB,966.58,3.56E+15,12-Jan-17,-99,ÈÑÒÈÍÀ
14-8178648,Kati,Gibbett,58,503,store manager,novice,10,kgibbett5@cornell.edu,597-504-6886,357 Gerald Place,Yuan Renminbi,CNY,461.57,3.74E+14,16-Mar-17,-99,ÈÑÒÈÍÀ
58-4989958,Kelly,Deas,34,668,financial planner,middle,7,kdeas6@freewebs.com,231-641-7184,438 Marquette Junction,Yuan Renminbi,CNY,782.33,5.60E+16,16-May-17,-99,ÈÑÒÈÍÀ
77-6594073,Charlton,Donke,20,314,account executive,expert,2,cdonke7@sakura.ne.jp,638-371-5387,99 Maryland Park,Euro,EUR,749.86,3.56E+15,1-Jan-17,-99,ÈÑÒÈÍÀ
73-7673226,Peggi,Shearmer,29,247,assistant store manager,middle,5,pshearmer8@unicef.org,829-945-4594,2 Crownhardt Trail,Peso,MXN,546.52,3.58E+15,23-Sep-17,-99,ÈÑÒÈÍÀ
46-0142743,Dalli,Whiterod,20,384,account executive,novice,1,dwhiterod9@example.com,797-596-6571,971 Truax Park,Rupiah,IDR,385.19,6.04E+17,1-Aug-17,-99,ÈÑÒÈÍÀ
02-6119844,Marc,Crab,30,311,store manager,novice,4,mcraba@nih.gov,250-433-6696,05377 Brentwood Way,Zloty,PLN,622.90,6.33E+15,14-Feb-17,-99,ËÎÆÜ
29-1470826,Zorina,Blitz,24,244,retail sales consultant,experienced,6,zblitzb@wsj.com,517-881-3711,9 Anthes Parkway,Krone,NOK,495.46,6.37E+15,24-Apr-17,-99,ËÎÆÜ
