employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
72-5622148,Germain,Strank,57,448,sales director,middle,7,gstrank0@yahoo.co.jp,264-485-5700,250 Cascade Plaza,Ruble,RUB,671.41,4.94E+17,27-Apr-17,-99,ËÎÆÜ
84-4546022,Jessey,Cheesman,60,2,sales director,novice,13,jcheesman1@icq.com,395-599-6311,85454 Mallard Way,Hryvnia,UAH,489.63,6.76E+15,21-Sep-17,-99,ËÎÆÜ
03-6725369,Domenic,Vatcher,62,70,sales representative,novice,10,dvatcher2@plala.or.jp,231-747-4727,1750 Dwight Hill,Yuan Renminbi,CNY,567.09,3.58E+15,1-Nov-17,-99,ËÎÆÜ
65-1638698,Fredia,Bottomore,38,564,director of inside sales,experienced,10,fbottomore3@tiny.cc,821-681-8260,5317 Dawn Park,Ringgit,MYR,842.24,3.56E+15,4-Feb-17,-99,ÈÑÒÈÍÀ
14-9420871,Kyle,Bonas,39,534,assistant store manager,expert,11,kbonas4@ucla.edu,651-593-8088,23606 Vahlen Junction,Yuan Renminbi,CNY,467.84,3.55E+15,23-Nov-16,-99,ËÎÆÜ
35-2085062,Minnaminnie,Jury,32,830,financial planner,expert,11,mjury5@etsy.com,192-459-6516,38512 Dawn Hill,Franc,XOF,822.75,5.60E+15,5-Mar-17,-99,ËÎÆÜ
32-6522416,Lynne,Pithcock,63,534,sales director,experienced,11,lpithcock6@wikipedia.org,620-180-1318,173 Jana Way,Hryvnia,UAH,360.07,6.71E+16,2-Mar-17,-99,ÈÑÒÈÍÀ
46-1249499,Jasen,Loads,27,754,financial planner,middle,7,jloads7@techcrunch.com,666-582-3709,098 Merchant Plaza,Ruble,RUB,723.41,3.54E+15,19-Aug-17,-99,ÈÑÒÈÍÀ
93-8119190,Alvera,Cunnell,23,782,retail sales consultant,novice,6,acunnell8@netscape.com,118-819-9476,454 Susan Road,Peso,CLP,437.73,3.54E+15,27-Sep-17,-99,ËÎÆÜ
23-6641863,Kerby,Obray,18,237,financial advisor,experienced,12,kobray9@mediafire.com,418-572-3611,76 American Ash Terrace,Euro,EUR,447.54,5.43E+15,26-May-17,-99,ÈÑÒÈÍÀ
96-5113615,Wyn,Greason,37,969,director of national sales,middle,1,wgreasona@barnesandnoble.com,535-307-3199,2750 Maryland Circle,Rupiah,IDR,374.66,6.76E+15,27-Dec-16,-99,ÈÑÒÈÍÀ
46-4554736,Hatti,Erley,65,598,retail sales consultant,expert,11,herleyb@berkeley.edu,188-972-2533,2301 Waubesa Crossing,Rupiah,IDR,806.13,6.38E+15,2-Nov-17,-99,ÈÑÒÈÍÀ
34-0429133,Elli,Guttridge,48,467,sales representative,experienced,13,eguttridgec@privacy.gov.au,121-817-1472,2725 Katie Plaza,Euro,EUR,516.06,3.56E+15,29-Mar-17,-99,ÈÑÒÈÍÀ
80-9907148,Tremaine,Vaen,52,864,account executive,novice,11,tvaend@engadget.com,232-978-6195,160 Kropf Park,Tenge,KZT,634.78,3.54E+15,30-Aug-17,-99,ÈÑÒÈÍÀ
22-9051727,Anderea,Wantling,62,479,sales director,expert,11,awantlinge@people.com.cn,359-566-8415,653 Morningstar Court,Krone,DKK,923.21,3.53E+15,5-Dec-16,-99,ÈÑÒÈÍÀ
18-5727299,Gigi,MacGuigan,43,757,sales associate,expert,5,gmacguiganf@plala.or.jp,848-482-6970,3 Stephen Avenue,Peso,MXN,959.29,3.53E+15,2-Oct-17,-99,ÈÑÒÈÍÀ
88-8137636,Kiley,Tabrett,40,733,financial advisor,middle,6,ktabrettg@google.fr,457-403-7537,15826 Cordelia Way,Peso,ARS,921.49,3.04E+13,28-Mar-17,-99,ÈÑÒÈÍÀ
96-8475038,Aurore,Edeler,54,302,executive vice president of sales,novice,8,aedelerh@w3.org,903-767-4445,9352 Browning Way,Peso,PHP,840.43,3.74E+14,17-Feb-17,-99,ËÎÆÜ
61-0038205,Mariya,D'Onise,23,372,store manager,middle,4,mdonisei@rambler.ru,639-373-6406,62223 Nobel Trail,Yuan Renminbi,CNY,524.75,4.90E+17,4-Mar-17,-99,ËÎÆÜ
37-6008741,Jehu,Shama,64,768,director of national sales,experienced,13,jshamaj@hexun.com,874-170-0222,8874 Northridge Road,Baht,THB,999.12,3.55E+15,1-Oct-17,-99,ËÎÆÜ
41-6986817,Glenna,Gadeaux,28,443,sales associate,experienced,1,ggadeauxk@seesaa.net,219-164-9049,66251 Calypso Junction,Euro,EUR,472.36,6.71E+15,6-Nov-17,-99,ËÎÆÜ
88-7126728,Lily,Cramond,37,295,director of inside sales,expert,15,lcramondl@1688.com,684-402-2126,882 Carey Court,Euro,EUR,888.96,5.52E+15,29-Apr-17,-99,ÈÑÒÈÍÀ
07-4850857,Deloris,Ghiriardelli,62,827,store manager,middle,14,dghiriardellim@arizona.edu,231-976-0939,57656 Bartelt Drive,Ringgit,MYR,501.57,5.11E+15,24-Dec-16,-99,ËÎÆÜ
79-4760220,Claybourne,Longman,29,419,sales representative,novice,12,clongmann@facebook.com,846-279-1191,1 Schurz Crossing,Euro,EUR,689.91,4.18E+15,24-Jan-17,-99,ËÎÆÜ
90-4823476,Nedda,Chittim,42,391,sales representative,novice,13,nchittimo@blinklist.com,239-909-4321,99 Forster Parkway,Peso,PHP,700.37,3.58E+15,17-Jan-17,-99,ÈÑÒÈÍÀ
61-3692270,Rory,Tosney,35,741,executive vice president of sales,middle,14,rtosneyp@amazon.de,623-774-9876,10018 Briar Crest Parkway,Boliviano,BOB,916.89,2.01E+14,17-Sep-17,-99,ËÎÆÜ
51-4960030,Anneliese,Bidmead,18,541,director of inside sales,novice,12,abidmeadq@hatena.ne.jp,224-160-1526,2 Hallows Road,Peso,PHP,514.94,3.57E+15,5-Mar-17,-99,ËÎÆÜ
94-8641465,Hadria,Keniwell,57,493,executive vice president of sales,expert,4,hkeniwellr@gnu.org,907-563-4482,29779 Lien Crossing,Rupiah,IDR,866.82,3.55E+15,24-May-17,-99,ËÎÆÜ
00-5522027,Catherin,Celloni,25,482,director of inside sales,novice,4,ccellonis@tinypic.com,782-769-0850,539 Acker Junction,Yuan Renminbi,CNY,419.65,6.39E+15,6-Apr-17,-99,ÈÑÒÈÍÀ
10-7741769,Vern,Maultby,52,77,sales director,experienced,3,vmaultbyt@go.com,923-750-9193,8 Wayridge Crossing,Euro,EUR,995.07,3.55E+15,15-Dec-16,-99,ËÎÆÜ
86-3421294,Ora,Stollmeyer,22,935,retail sales consultant,novice,14,ostollmeyeru@qq.com,671-157-4280,16828 Raven Crossing,Rupiah,IDR,482.76,5.60E+15,16-Jan-17,-99,ÈÑÒÈÍÀ
97-4484569,Lynda,Pedgrift,21,793,sales associate,novice,15,lpedgriftv@bizjournals.com,520-174-1020,93 Fair Oaks Avenue,Euro,EUR,820.21,3.54E+15,26-May-17,-99,ËÎÆÜ
40-4942711,Eldridge,Hullins,38,522,executive vice president of sales,experienced,13,ehullinsw@php.net,332-738-3968,61211 Kropf Alley,Rupiah,IDR,625.99,3.54E+15,11-May-17,-99,ÈÑÒÈÍÀ
12-8554982,Derk,Westphal,50,915,account executive,experienced,7,dwestphalx@globo.com,756-283-7964,73125 Packers Street,Yuan Renminbi,CNY,477.80,3.54E+15,27-Jan-17,-99,ËÎÆÜ
18-2668885,Saxe,Redon,30,266,executive vice president of sales,novice,15,sredony@cargocollective.com,223-345-1533,30322 Killdeer Point,Euro,EUR,712.91,3.53E+15,23-Jan-17,-99,ËÎÆÜ
11-0551320,Orelia,Rainsdon,33,941,director of inside sales,experienced,14,orainsdonz@dyndns.org,652-301-9126,1 Nelson Alley,Som,KGS,730.28,3.55E+15,21-Apr-17,-99,ËÎÆÜ
39-6385400,Jemmy,Jerke,65,216,sales director,novice,14,jjerke10@github.io,964-792-4678,5033 Almo Road,Ruble,RUB,707.95,5.60E+17,29-Apr-17,-99,ÈÑÒÈÍÀ
80-5642614,Melita,Wakeman,54,196,account executive,expert,3,mwakeman11@flickr.com,198-349-9853,1 Esch Road,Peso,PHP,370.38,5.89E+15,16-Sep-17,-99,ÈÑÒÈÍÀ
