employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
84-5767377,Mathe,Hateley,51,592,retail sales consultant,novice,10,mhateley0@theguardian.com,328-669-4341,1 Express Pass,Peso,PHP,365.86,5.38E+15,31-Mar-17,-99,ËÎÆÜ
39-6904199,Wakefield,Davidovics,43,308,sales associate,experienced,1,wdavidovics1@omniture.com,493-879-6441,5104 Sullivan Center,Euro,EUR,726.72,3.55E+15,30-Mar-17,-99,ÈÑÒÈÍÀ
00-6707663,Kirby,Dutt,35,784,sales associate,expert,1,kdutt2@wix.com,957-128-6544,49203 Kenwood Drive,Ruble,RUB,764.49,6.76E+18,1-Dec-16,-99,ÈÑÒÈÍÀ
71-1054826,Hali,Burnet,19,277,store manager,experienced,11,hburnet3@sakura.ne.jp,922-896-8106,389 Northridge Lane,Yuan Renminbi,CNY,579.94,3.53E+15,28-Apr-17,-99,ËÎÆÜ
70-7996234,Linn,Cassedy,52,791,director of inside sales,novice,3,lcassedy4@sogou.com,347-995-6508,3759 Colorado Point,Gourde,HTG,771.64,3.55E+15,10-Mar-17,-99,ËÎÆÜ
89-6925855,Ulla,Colisbe,36,35,executive vice president of sales,experienced,13,ucolisbe5@rediff.com,188-784-8908,3 Independence Alley,Yuan Renminbi,CNY,814.42,3.75E+14,17-Sep-17,-99,ËÎÆÜ
27-2037177,Lynnea,Mully,32,265,retail sales consultant,middle,3,lmully6@desdev.cn,688-777-5949,0 Prairie Rose Point,Peso,ARS,607.02,3.55E+15,19-Dec-16,-99,ËÎÆÜ
12-3392949,Richmound,Grist,46,646,financial advisor,experienced,10,rgrist7@go.com,861-425-1322,86380 Badeau Court,Euro,EUR,416.64,3.53E+15,15-Jan-17,-99,ÈÑÒÈÍÀ
53-9050163,Effie,Snook,27,422,director of national sales,expert,3,esnook8@jiathis.com,476-522-4456,84215 Crest Line Drive,Peso,MXN,613.44,3.57E+15,11-Nov-17,-99,ÈÑÒÈÍÀ
67-9891532,Roi,Barles,35,421,account executive,middle,7,rbarles9@umn.edu,237-174-9361,76 Blackbird Park,Yuan Renminbi,CNY,567.76,3.57E+15,4-Aug-17,-99,ËÎÆÜ
08-9713456,Iver,Hill,37,941,store manager,middle,13,ihilla@arstechnica.com,721-659-2315,8945 Del Mar Pass,Real,BRL,437.86,6.76E+17,19-Jan-17,-99,ËÎÆÜ
12-2051006,Melamie,Rachuig,47,836,account executive,novice,13,mrachuigb@jimdo.com,455-489-2702,710 Knutson Pass,Euro,EUR,414.85,3.56E+15,10-Mar-17,-99,ËÎÆÜ
38-9321870,Wynn,Jovic,63,355,sales director,novice,8,wjovicc@bizjournals.com,397-407-8526,947 Troy Terrace,Ruble,BYR,723.38,5.54E+15,5-Oct-17,-99,ËÎÆÜ
70-9247558,Sid,Mycroft,50,952,assistant store manager,experienced,8,smycroftd@mayoclinic.com,531-647-7959,90 Ronald Regan Avenue,Rupiah,IDR,822.68,3.54E+15,1-Jul-17,-99,ËÎÆÜ
04-5896918,Annissa,Speer,19,436,sales director,middle,10,aspeere@creativecommons.org,153-248-4368,560 Westerfield Crossing,Yuan Renminbi,CNY,474.29,5.26E+15,18-Oct-17,-99,ÈÑÒÈÍÀ
09-3307377,Gaye,Doughartie,60,563,financial advisor,expert,15,gdoughartief@imageshack.us,599-271-0807,0387 Grover Trail,Rupiah,IDR,754.21,3.01E+13,20-Sep-17,-99,ÈÑÒÈÍÀ
92-1841256,Gayla,Gomby,24,162,store manager,experienced,10,ggombyg@dailymail.co.uk,680-378-5879,2550 Ruskin Avenue,Ruble,RUB,834.71,3.59E+15,8-Feb-17,-99,ËÎÆÜ
72-9621038,Thalia,Schoffler,21,20,account executive,experienced,13,tschofflerh@house.gov,865-227-5225,27149 Superior Way,Krona,SEK,533.94,5.02E+16,30-Nov-16,-99,ËÎÆÜ
96-5922580,Kurt,Backes,64,795,director of national sales,middle,10,kbackesi@skyrock.com,429-374-1288,2039 Twin Pines Court,Koruna,CZK,454.06,4.04E+15,11-Feb-17,-99,ËÎÆÜ
65-4141552,Cybill,Heatlie,49,668,director of inside sales,middle,1,cheatliej@patch.com,340-539-9874,4687 Hansons Alley,Euro,EUR,520.64,6.33E+15,22-Mar-17,-99,ËÎÆÜ
09-4432601,Doralin,Hounsom,50,868,store manager,experienced,13,dhounsomk@nyu.edu,331-658-4782,0289 Bunker Hill Hill,Dirham,MAD,981.45,3.59E+15,31-May-17,-99,ÈÑÒÈÍÀ
01-3296650,Marian,Raithbie,32,370,account executive,middle,4,mraithbiel@buzzfeed.com,514-841-4359,2 Hazelcrest Way,Yuan Renminbi,CNY,440.11,3.55E+15,5-Jan-17,-99,ÈÑÒÈÍÀ
62-4672963,Vin,Bellocht,50,607,sales coordinator,experienced,4,vbellochtm@fda.gov,123-773-6252,434 Novick Place,Peso,PHP,896.31,3.57E+15,18-Dec-16,-99,ÈÑÒÈÍÀ
53-8403758,Vale,L'argent,40,421,account executive,novice,3,vlargentn@ucoz.com,747-439-5686,2 Autumn Leaf Hill,Ruble,RUB,824.16,6.33E+17,6-Apr-17,-99,ËÎÆÜ
50-3676526,Katti,Willatt,30,658,financial planner,expert,6,kwillatto@census.gov,820-742-5070,229 Lotheville Trail,Peso,PHP,507.70,5.10E+15,14-Dec-16,-99,ÈÑÒÈÍÀ
36-2738998,Zonnya,Gosse,27,799,sales director,middle,3,zgossep@wikispaces.com,944-901-3172,82520 Jay Parkway,Yuan Renminbi,CNY,761.90,3.02E+13,14-Jan-17,-99,ÈÑÒÈÍÀ
64-4917000,Friederike,Grigorescu,32,171,sales representative,novice,3,fgrigorescuq@pen.io,934-814-8823,741 Monument Circle,Peso,PHP,574.19,5.04E+18,2-May-17,-99,ÈÑÒÈÍÀ
50-7628245,Sayers,Deval,64,981,sales coordinator,expert,9,sdevalr@icq.com,310-994-4403,3 Lillian Street,Peso,PHP,442.07,3.57E+15,6-Feb-17,-99,ÈÑÒÈÍÀ
27-2577079,Gard,Brimner,48,860,director of national sales,middle,11,gbrimners@independent.co.uk,569-799-1302,454 Summer Ridge Junction,Rupiah,IDR,535.77,5.60E+17,16-Apr-17,-99,ËÎÆÜ
43-3622405,Branden,Cordingly,35,805,financial planner,experienced,10,bcordinglyt@yolasite.com,583-581-2923,71513 John Wall Avenue,Dinar,IQD,398.65,6.33E+17,18-Jun-17,-99,ÈÑÒÈÍÀ
50-0611181,Irwinn,Raymen,21,326,account executive,novice,13,iraymenu@istockphoto.com,253-269-6553,9 Magdeline Circle,Krona,SEK,525.73,3.38E+14,19-Mar-17,-99,ËÎÆÜ
36-3858439,Consolata,Tupie,49,570,store manager,expert,3,ctupiev@twitpic.com,481-639-2678,917 Huxley Plaza,Rupiah,IDR,407.29,3.54E+15,5-Feb-17,-99,ÈÑÒÈÍÀ
06-5444178,Sidnee,Restieaux,41,657,financial planner,novice,10,srestieauxw@creativecommons.org,484-128-9382,137 Caliangt Drive,Koruna,CZK,690.66,5.53E+15,19-Apr-17,-99,ÈÑÒÈÍÀ
66-5012949,Conchita,Ryder,46,820,financial advisor,expert,10,cryderx@woothemes.com,635-954-2370,6 Carpenter Junction,Euro,EUR,888.53,3.58E+15,19-Apr-17,-99,ÈÑÒÈÍÀ
38-3259942,Celka,Derby,45,436,sales director,novice,15,cderbyy@studiopress.com,410-988-3459,3071 Lunder Circle,Yuan Renminbi,CNY,681.01,2.02E+14,9-May-17,-99,ËÎÆÜ
73-9389331,Noelyn,Reven,35,257,store manager,novice,14,nrevenz@tumblr.com,393-470-3836,14780 Tomscot Point,Won,KRW,996.06,5.61E+15,23-Oct-17,-99,ËÎÆÜ
32-2626337,Barbara,Dradey,25,73,account executive,middle,13,bdradey10@shinystat.com,122-243-3547,84553 Trailsway Circle,Bolivar,VEF,850.15,4.04E+15,3-May-17,-99,ËÎÆÜ
89-3859969,Ulla,Filan,62,20,store manager,middle,8,ufilan11@privacy.gov.au,603-320-8585,9623 Hoffman Place,Euro,EUR,731.42,3.57E+15,6-Aug-17,-99,ËÎÆÜ
85-1847847,Kendall,Wetherhead,32,562,director of national sales,experienced,11,kwetherhead12@biblegateway.com,804-658-7685,5724 Veith Circle,Pound,EGP,512.48,6.77E+18,17-Jan-17,-99,ËÎÆÜ
07-1370602,Revkah,Leggate,60,702,financial advisor,novice,6,rleggate13@dion.ne.jp,380-972-2299,00390 Stoughton Crossing,Ruble,RUB,922.42,3.55E+15,2-May-17,-99,ÈÑÒÈÍÀ
98-5618086,Kenyon,Fearon,64,895,assistant store manager,novice,10,kfearon14@disqus.com,421-554-9470,4303 Tennessee Point,Franc,XAF,428.82,5.56E+15,28-Jan-17,-99,ÈÑÒÈÍÀ
58-6551000,Muire,Ormesher,43,921,assistant store manager,novice,3,mormesher15@ning.com,289-417-2603,7517 Meadow Valley Road,Balboa,PAB,529.01,3.56E+15,26-Oct-17,-99,ËÎÆÜ
25-6583017,Codie,Hamer,21,808,sales representative,expert,13,chamer16@columbia.edu,581-961-4585,80231 Mandrake Way,Peso,PHP,991.13,3.00E+13,29-Mar-17,-99,ËÎÆÜ
58-6583688,Dominik,Matashkin,25,29,sales representative,experienced,8,dmatashkin17@bravesites.com,352-977-6706,16877 Tennessee Hill,Zloty,PLN,639.31,6.77E+18,18-Jul-17,-99,ÈÑÒÈÍÀ
30-5324710,Nester,Exer,27,316,executive vice president of sales,middle,14,nexer18@mapy.cz,165-256-2275,9 Melody Street,Hryvnia,UAH,403.64,3.75E+14,4-Nov-17,-99,ËÎÆÜ
36-7360720,Gordy,Manterfield,34,754,assistant store manager,novice,11,gmanterfield19@aol.com,330-780-1542,3 Del Mar Street,Dollar,USD,665.41,3.55E+15,31-Dec-16,-99,ËÎÆÜ
20-4210388,Sheri,Forryan,29,609,store manager,middle,2,sforryan1a@prnewswire.com,915-459-3511,10293 Artisan Court,Dollar,USD,925.63,3.01E+13,10-Aug-17,-99,ÈÑÒÈÍÀ
87-7498332,Paige,Aird,40,787,sales representative,expert,12,paird1b@squarespace.com,240-148-0872,51 Huxley Drive,Krona,SEK,397.85,3.59E+15,3-Dec-16,-99,ËÎÆÜ
82-7531630,Ruddy,Redding,40,595,sales coordinator,experienced,9,rredding1c@forbes.com,411-331-7517,9904 Transport Avenue,Yuan Renminbi,CNY,876.84,3.55E+15,21-Nov-16,-99,ÈÑÒÈÍÀ
55-5602667,Trueman,De Biasio,43,2,financial advisor,experienced,9,tdebiasio1d@irs.gov,720-882-5737,57 Dawn Lane,Yuan Renminbi,CNY,878.04,3.59E+15,3-Feb-17,-99,ÈÑÒÈÍÀ
89-8397031,Maud,Domingues,28,258,account executive,experienced,2,mdomingues1e@squarespace.com,443-127-7635,565 Center Center,Zloty,PLN,985.90,3.58E+15,5-Mar-17,-99,ËÎÆÜ
41-3586782,Brande,Mechan,19,994,sales representative,middle,7,bmechan1f@tmall.com,912-384-9814,81227 Ridgeview Center,Ruble,RUB,961.92,3.53E+15,25-Jun-17,-99,ËÎÆÜ
94-0149613,Lucais,Mousley,42,511,director of inside sales,expert,14,lmousley1g@xing.com,383-412-7433,66775 American Crossing,Euro,EUR,982.77,5.52E+15,15-Nov-17,-99,ÈÑÒÈÍÀ
36-2418691,Katharina,Vell,35,241,financial advisor,expert,7,kvell1h@bluehost.com,107-641-9379,3 Pleasure Pass,Hryvnia,UAH,575.06,3.06E+13,24-Apr-17,-99,ËÎÆÜ
24-6288958,Carlen,De Andisie,64,529,retail sales consultant,expert,12,cdeandisie1i@typepad.com,150-671-5477,4342 Memorial Road,Yuan Renminbi,CNY,680.81,3.04E+13,7-Aug-17,-99,ËÎÆÜ
15-8179019,Maisey,Olrenshaw,62,318,sales representative,middle,15,molrenshaw1j@bravesites.com,619-373-2429,84830 Onsgard Alley,Krone,NOK,961.93,4.91E+17,20-May-17,-99,ÈÑÒÈÍÀ
84-2606795,Dale,Keele,42,68,executive vice president of sales,experienced,9,dkeele1k@comsenz.com,956-121-1234,82 Leroy Park,Ruble,RUB,435.50,5.60E+15,30-Jul-17,-99,ÈÑÒÈÍÀ
58-0060457,Liz,Roggieri,23,630,sales director,middle,8,lroggieri1l@amazon.co.uk,923-657-4747,0 Rieder Alley,Peso,PHP,786.55,6.76E+18,14-Oct-17,-99,ÈÑÒÈÍÀ
82-3980951,Hashim,Milan,27,596,sales associate,experienced,12,hmilan1m@psu.edu,595-419-4003,8 Mayfield Alley,Yuan Renminbi,CNY,472.77,5.60E+15,14-Dec-16,-99,ËÎÆÜ
68-3149314,Worthy,Bevar,18,987,financial planner,middle,1,wbevar1n@meetup.com,961-880-6230,835 Maryland Court,Tenge,KZT,512.42,3.59E+15,29-Jun-17,-99,ËÎÆÜ
21-6407583,Lenci,Lewins,50,616,sales director,middle,6,llewins1o@theguardian.com,107-460-1760,438 Bowman Court,Lempira,HNL,512.73,3.74E+14,22-Nov-16,-99,ËÎÆÜ
74-2709353,Moises,Kleinzweig,27,622,sales representative,novice,14,mkleinzweig1p@nba.com,513-930-5560,0405 Forest Dale Park,Ruble,RUB,871.12,5.60E+15,12-Oct-17,-99,ËÎÆÜ
06-5131634,Karlyn,Papaminas,23,309,sales representative,middle,15,kpapaminas1q@gov.uk,973-107-8926,68198 Graceland Avenue,Euro,EUR,895.53,3.57E+15,30-Aug-17,-99,ËÎÆÜ
17-8791081,Nicol,Reynault,40,112,financial advisor,middle,5,nreynault1r@sina.com.cn,323-377-4261,68 Monterey Plaza,Rupiah,IDR,547.95,3.04E+13,21-May-17,-99,ËÎÆÜ
51-4440150,Britte,Jeandeau,36,556,retail sales consultant,expert,13,bjeandeau1s@alexa.com,269-404-8644,960 South Court,Dollar,USD,687.57,3.59E+15,17-Dec-16,-99,ÈÑÒÈÍÀ
10-4985962,Torey,Thorn,54,33,sales representative,expert,14,tthorn1t@uiuc.edu,507-770-1411,74 Barby Point,Ruble,RUB,490.59,2.02E+14,2-Apr-17,-99,ËÎÆÜ
41-5361407,Gasparo,Clingan,53,778,executive vice president of sales,novice,8,gclingan1u@cbsnews.com,246-925-7023,20877 South Way,Zloty,PLN,514.91,4.84E+15,16-Sep-17,-99,ÈÑÒÈÍÀ
16-1978922,Ame,Flew,22,659,account executive,experienced,7,aflew1v@mtv.com,972-671-6152,5 Steensland Pass,Rupiah,IDR,503.90,5.35E+15,15-Sep-17,-99,ÈÑÒÈÍÀ
10-5800488,Kris,Vasyaev,48,763,financial planner,middle,14,kvasyaev1w@sitemeter.com,605-437-0913,3 Ramsey Court,Ruble,RUB,424.68,3.59E+15,14-Jul-17,-99,ËÎÆÜ
39-5360769,Gigi,Clipston,44,741,retail sales consultant,expert,10,gclipston1x@ifeng.com,942-553-7114,219 Muir Court,Yuan Renminbi,CNY,440.02,3.55E+15,2-Dec-16,-99,ËÎÆÜ
58-9453819,Arvy,Ambridge,18,642,assistant store manager,novice,11,aambridge1y@studiopress.com,725-819-1319,48 Jana Terrace,Koruna,CZK,828.11,3.74E+14,7-Jun-17,-99,ÈÑÒÈÍÀ
08-0314206,Alexis,Messager,55,835,assistant store manager,experienced,4,amessager1z@cafepress.com,434-858-9359,5 Acker Street,Hryvnia,UAH,993.62,3.56E+15,8-Jun-17,-99,ÈÑÒÈÍÀ
92-8833586,Sella,Base,36,795,assistant store manager,middle,9,sbase20@craigslist.org,431-674-0710,7230 Helena Road,Euro,EUR,610.67,3.38E+14,24-May-17,-99,ÈÑÒÈÍÀ
48-7034529,Chaddie,Stobbe,56,588,sales associate,middle,6,cstobbe21@ibm.com,954-826-0294,29084 Bayside Street,Yuan Renminbi,CNY,767.58,3.53E+15,2-Aug-17,-99,ÈÑÒÈÍÀ
74-6941964,Grover,Elden,24,699,assistant store manager,novice,15,gelden22@soup.io,948-393-7183,642 Erie Crossing,Real,BRL,817.73,5.11E+15,22-Nov-16,-99,ÈÑÒÈÍÀ
30-1091439,Estel,Shreeve,61,232,store manager,experienced,7,eshreeve23@apple.com,304-723-8577,1528 Heath Park,Kwanza,AOA,404.76,3.58E+15,4-May-17,-99,ËÎÆÜ
70-8869153,Mano,Cooksey,24,455,director of national sales,experienced,4,mcooksey24@soup.io,459-678-9150,92 School Parkway,Yuan Renminbi,CNY,380.72,3.55E+15,15-Nov-17,-99,ÈÑÒÈÍÀ
04-2987029,Bertrando,Rickard,56,320,sales representative,experienced,14,brickard25@admin.ch,935-689-5672,0 Acker Point,Franc,XAF,569.93,3.05E+13,25-Jun-17,-99,ËÎÆÜ
55-1547882,Arvin,Gibb,47,699,sales director,novice,7,agibb26@marriott.com,310-887-9270,467 Grover Center,Won,KRW,455.85,3.59E+15,3-May-17,-99,ËÎÆÜ
50-0905983,Jackson,Tombling,54,592,director of inside sales,middle,10,jtombling27@tripod.com,970-440-2006,5332 Crowley Circle,Peso,PHP,830.12,5.60E+16,15-May-17,-99,ÈÑÒÈÍÀ
58-8677822,Rickie,Skippings,47,637,store manager,expert,4,rskippings28@bloglovin.com,814-775-3336,7 Little Fleur Crossing,Yen,JPY,508.94,6.76E+16,30-Aug-17,-99,ÈÑÒÈÍÀ
65-8540532,Rance,Di Biagio,19,550,account executive,middle,12,rdibiagio29@shop-pro.jp,389-900-2736,6 Esker Circle,Real,BRL,917.02,3.56E+15,14-May-17,-99,ËÎÆÜ
57-4841996,Gerti,Scoble,62,796,store manager,experienced,5,gscoble2a@economist.com,282-375-2633,5 Lakewood Gardens Way,Koruna,CZK,946.97,5.61E+15,16-Feb-17,-99,ËÎÆÜ
10-3044536,Wilona,Lighton,65,507,executive vice president of sales,experienced,13,wlighton2b@dion.ne.jp,520-770-1041,853 Ronald Regan Terrace,Yuan Renminbi,CNY,466.45,2.02E+14,20-Sep-17,-99,ËÎÆÜ
85-9587695,Rebecca,Birkhead,24,239,sales director,novice,9,rbirkhead2c@sun.com,787-332-2147,48 Grover Lane,Euro,EUR,565.94,3.54E+15,29-Dec-16,-99,ËÎÆÜ
46-6658082,Maurine,Wilderspoon,28,291,sales director,expert,12,mwilderspoon2d@miitbeian.gov.cn,967-269-4556,0 Everett Trail,Rupiah,IDR,561.77,3.57E+15,30-Oct-17,-99,ÈÑÒÈÍÀ
63-9578337,Massimo,Janzen,58,639,account executive,novice,6,mjanzen2e@noaa.gov,460-377-9132,47663 Dennis Parkway,Yuan Renminbi,CNY,848.49,3.75E+14,29-Jun-17,-99,ÈÑÒÈÍÀ
12-4480683,Phaidra,Bury,21,171,sales associate,novice,8,pbury2f@flickr.com,798-117-4825,7 Ilene Crossing,Yuan Renminbi,CNY,724.18,3.59E+15,29-Nov-16,-99,ÈÑÒÈÍÀ
50-4435135,Harlen,Meneely,31,530,sales representative,middle,13,hmeneely2g@cdbaby.com,325-197-5509,423 Marquette Center,Dollar,USD,427.21,3.53E+15,18-Sep-17,-99,ËÎÆÜ
53-6793159,Luca,Johanning,52,432,account executive,middle,7,ljohanning2h@indiatimes.com,553-151-4492,2 Pennsylvania Parkway,Kwacha,ZMW,742.53,3.57E+15,3-Jan-17,-99,ËÎÆÜ
92-6595214,Joana,Babon,25,924,sales representative,middle,3,jbabon2i@constantcontact.com,309-845-3986,9014 Bunker Hill Center,Yuan Renminbi,CNY,434.71,3.55E+15,11-Jan-17,-99,ÈÑÒÈÍÀ
36-6511012,Miner,Cragg,24,886,retail sales consultant,expert,6,mcragg2j@theguardian.com,124-913-3116,7 Troy Hill,Ruble,RUB,955.04,3.54E+15,27-Jan-17,-99,ËÎÆÜ
71-5617697,Piper,Ebunoluwa,33,177,store manager,expert,9,pebunoluwa2k@columbia.edu,793-967-6552,4 Golf Crossing,Real,BRL,592.85,4.41E+15,6-Dec-16,-99,ËÎÆÜ
00-2698732,Glen,Alliot,18,682,sales director,middle,14,galliot2l@issuu.com,958-653-4985,69877 Prentice Pass,Euro,EUR,613.43,6.76E+18,18-Mar-17,-99,ÈÑÒÈÍÀ
19-9921510,Ranna,Khadir,39,37,account executive,experienced,14,rkhadir2m@indiatimes.com,110-819-3269,802 Schurz Avenue,Koruna,CZK,475.38,6.71E+15,11-Nov-17,-99,ÈÑÒÈÍÀ
