employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
47-8636793,Lura,Pendock,41,355,financial planner,expert,10,lpendock0@aol.com,288-676-4519,779 Morningstar Alley,Peso,PHP,699.58,5.60E+18,1-May-17,-99,ËÎÆÜ
55-8093480,Myrlene,McIlenna,32,616,director of national sales,middle,7,mmcilenna1@pen.io,652-110-4396,568 Old Gate Point,Yuan Renminbi,CNY,532.43,3.56E+15,22-Mar-17,-99,ËÎÆÜ
50-4503811,Christean,Kimpton,36,863,sales associate,middle,10,ckimpton2@bravesites.com,107-723-1476,63397 Pearson Trail,Dinar,TND,632.39,5.60E+15,23-Dec-16,-99,ÈÑÒÈÍÀ
85-6331108,Suzanna,Kuhwald,18,994,sales representative,novice,6,skuhwald3@w3.org,197-380-0054,9185 Chinook Alley,Pound,SYP,385.80,3.53E+15,16-May-17,-99,ÈÑÒÈÍÀ
13-7828284,Rowland,Kornes,28,462,financial advisor,expert,6,rkornes4@umich.edu,820-403-0699,9885 Hanover Place,Euro,EUR,595.09,3.58E+15,18-May-17,-99,ËÎÆÜ
32-7262841,Roxana,Issacof,48,47,sales director,experienced,10,rissacof5@wix.com,105-875-1109,82 Mccormick Avenue,Rupiah,IDR,527.21,3.55E+15,21-Feb-17,-99,ÈÑÒÈÍÀ
39-7919027,Annelise,Follacaro,31,722,sales associate,expert,10,afollacaro6@typepad.com,403-452-7479,7685 Basil Avenue,Yuan Renminbi,CNY,624.12,3.58E+15,12-Apr-17,-99,ÈÑÒÈÍÀ
99-8274117,Arly,Jubert,25,635,financial planner,middle,11,ajubert7@people.com.cn,933-468-4802,7 Westport Center,Euro,EUR,357.51,4.70E+15,20-Dec-16,-99,ÈÑÒÈÍÀ
83-6411187,Atlante,Creedland,23,672,sales associate,novice,1,acreedland8@t-online.de,178-836-5194,683 Meadow Valley Avenue,Sol,PEN,849.92,3.74E+14,26-Jul-17,-99,ÈÑÒÈÍÀ
43-6684319,Wyndham,Empringham,58,729,store manager,novice,2,wempringham9@blogger.com,376-706-6634,73 Hagan Terrace,Naira,NGN,383.77,3.58E+15,27-Aug-17,-99,ËÎÆÜ
33-5056499,Kori,Merwe,51,876,sales associate,middle,7,kmerwea@squidoo.com,568-185-3043,6050 Melrose Alley,Euro,EUR,844.32,4.91E+17,6-Nov-17,-99,ÈÑÒÈÍÀ
26-0279143,Priscella,Oakes,33,652,sales associate,middle,3,poakesb@jalbum.net,628-676-0517,65 Doe Crossing Point,Euro,EUR,352.62,6.04E+15,23-Aug-17,-99,ÈÑÒÈÍÀ
06-4839535,Nikolaos,Bacon,33,275,account executive,middle,13,nbaconc@wunderground.com,385-971-8054,04630 Fieldstone Crossing,Peso,ARS,838.39,3.01E+13,11-Jan-17,-99,ËÎÆÜ
56-8632941,Kyle,Biaggi,42,292,financial advisor,novice,6,kbiaggid@webnode.com,666-762-4046,37 Luster Drive,Rupiah,IDR,599.85,6.71E+15,16-Sep-17,-99,ÈÑÒÈÍÀ
79-3667597,Adah,Breakwell,54,216,sales director,experienced,13,abreakwelle@sbwire.com,346-187-6899,630 Dayton Avenue,Rupiah,IDR,599.95,3.56E+15,9-Nov-17,-99,ËÎÆÜ
19-4745151,Thorin,Loukes,27,187,executive vice president of sales,experienced,2,tloukesf@istockphoto.com,904-654-7210,9 Lien Street,Euro,EUR,899.34,5.60E+16,24-Oct-17,-99,ÈÑÒÈÍÀ
12-8125720,Aurelia,Renowden,46,79,executive vice president of sales,novice,12,arenowdeng@imdb.com,894-826-9271,5 Oriole Circle,Rupiah,IDR,900.44,3.02E+13,26-Mar-17,-99,ÈÑÒÈÍÀ
26-3481603,Jorge,Bosch,33,859,sales coordinator,experienced,13,jboschh@howstuffworks.com,908-417-8379,224 Marcy Street,Dollar,CAD,679.94,5.10E+15,6-Jul-17,-99,ËÎÆÜ
53-3466061,Cecilius,O' Loughran,26,697,assistant store manager,middle,13,coloughrani@hatena.ne.jp,678-303-7691,59293 Jackson Point,Yuan Renminbi,CNY,402.71,5.61E+15,7-Apr-17,-99,ÈÑÒÈÍÀ
49-6706610,Cristen,Keynd,32,98,account executive,novice,5,ckeyndj@mapy.cz,683-934-1477,41644 Summit Road,Ngultrum,BTN,526.44,5.10E+15,13-May-17,-99,ÈÑÒÈÍÀ
04-9376068,Melantha,Pinckstone,27,14,sales associate,experienced,8,mpinckstonek@tripod.com,586-199-1119,871 Transport Point,Rupiah,IDR,921.92,5.37E+15,1-Aug-17,-99,ÈÑÒÈÍÀ
45-7748166,Andrus,Badini,45,891,sales representative,experienced,14,abadinil@skype.com,165-227-3923,02415 Badeau Parkway,Euro,EUR,906.37,3.38E+14,24-Jul-17,-99,ËÎÆÜ
36-4209057,Vivianna,Menhenitt,64,454,sales representative,experienced,1,vmenhenittm@studiopress.com,193-515-9595,4943 Killdeer Park,Yuan Renminbi,CNY,779.30,3.58E+15,18-Jun-17,-99,ËÎÆÜ
