employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
03-2964964,Stevena,Maier,52,639,director of inside sales,novice,8,smaier0@google.co.uk,167-309-7814,9047 Wayridge Center,Rupiah,IDR,706.88,3.74E+14,2-Aug-17,-99,ÈÑÒÈÍÀ
95-2464373,Letisha,De Vuyst,27,17,financial planner,novice,14,ldevuyst1@jugem.jp,354-751-7782,31 2nd Pass,Lev,BGN,976.82,3.58E+15,27-Oct-17,-99,ÈÑÒÈÍÀ
88-5006356,Venita,Huntress,55,815,director of inside sales,middle,2,vhuntress2@arizona.edu,828-591-6361,1812 Shopko Parkway,Rupiah,IDR,939.37,5.19E+15,11-Dec-16,-99,ËÎÆÜ
64-9253359,Fern,McMearty,56,209,financial advisor,experienced,15,fmcmearty3@squidoo.com,601-886-5987,0666 Buhler Drive,Ruble,RUB,606.04,3.55E+15,29-May-17,-99,ÈÑÒÈÍÀ
19-7846977,Jareb,Sinncock,55,386,executive vice president of sales,expert,10,jsinncock4@scientificamerican.com,827-676-0695,0 Messerschmidt Avenue,Dinar,RSD,626.52,5.10E+15,29-Mar-17,-99,ËÎÆÜ
59-8893237,Pincas,Eckels,63,729,assistant store manager,middle,12,peckels5@arstechnica.com,983-332-7671,64390 Butterfield Alley,Yuan Renminbi,CNY,938.18,4.02E+12,26-Jun-17,-99,ÈÑÒÈÍÀ
48-3508691,Halley,Breache,54,156,sales representative,middle,9,hbreache6@adobe.com,650-897-5628,84 Ruskin Point,Kuna,HRK,529.20,3.50E+14,18-Jan-17,-99,ÈÑÒÈÍÀ
77-3786247,Saree,Griffiths,63,868,director of national sales,experienced,1,sgriffiths7@tamu.edu,631-643-2972,40 Hanover Terrace,Yuan Renminbi,CNY,740.06,5.05E+15,24-Nov-16,-99,ÈÑÒÈÍÀ
30-5041239,Pavla,Duffit,64,421,executive vice president of sales,novice,2,pduffit8@forbes.com,457-102-2996,6928 West Circle,Euro,EUR,634.02,3.56E+15,9-Jun-17,-99,ÈÑÒÈÍÀ
45-0205335,Ashly,Cancott,50,650,sales associate,novice,8,acancott9@jigsy.com,431-509-6473,6 Crowley Circle,Zloty,PLN,833.39,3.54E+15,19-Feb-17,-99,ÈÑÒÈÍÀ
92-5611436,Myrah,Batter,21,239,assistant store manager,expert,11,mbattera@discovery.com,518-592-5404,67912 Blaine Crossing,Ruble,RUB,426.54,5.10E+15,11-Jan-17,-99,ËÎÆÜ
27-8394204,Rudd,Alexsandrev,51,167,store manager,novice,14,ralexsandrevb@goo.gl,292-449-5500,9 Oneill Court,Yuan Renminbi,CNY,777.37,3.54E+15,4-Apr-17,-99,ÈÑÒÈÍÀ
25-5423160,Roxie,Kopf,57,57,account executive,expert,3,rkopfc@independent.co.uk,296-933-7106,5 Westport Street,Yuan Renminbi,CNY,706.64,5.02E+16,25-Dec-16,-99,ÈÑÒÈÍÀ
93-1390545,Torry,Palfree,52,602,director of national sales,experienced,8,tpalfreed@aol.com,996-894-2667,0 Lien Alley,Hryvnia,UAH,893.86,4.04E+15,5-Aug-17,-99,ÈÑÒÈÍÀ
97-3869789,Warde,Dawson,61,259,director of inside sales,middle,14,wdawsone@wikispaces.com,623-986-1830,2718 Sycamore Place,Rupiah,IDR,693.07,6.33E+17,16-Sep-17,-99,ËÎÆÜ
