employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
03-9720607,Helge,Swinburn,25,575,sales coordinator,expert,12,hswinburn0@sitemeter.com,437-850-1893,7963 Lotheville Parkway,Krona,SEK,408.36,3.55E+15,8-Feb-17,-99,ËÎÆÜ
07-0182737,Armstrong,McLeoid,53,439,store manager,middle,14,amcleoid1@shop-pro.jp,485-569-1161,82 Longview Street,Yen,JPY,588.07,5.60E+15,1-Sep-17,-99,ËÎÆÜ
49-5199675,Ryun,Basindale,43,859,store manager,experienced,11,rbasindale2@wsj.com,791-437-5982,52122 Debra Plaza,Yuan Renminbi,CNY,904.76,3.04E+13,23-Feb-17,-99,ËÎÆÜ
13-1004614,Lotta,Hugnot,38,499,sales representative,novice,11,lhugnot3@ow.ly,504-343-5161,4 Bunker Hill Pass,Ruble,RUB,969.49,3.59E+15,4-Feb-17,-99,ËÎÆÜ
69-2477212,Ginni,Gilbert,48,907,financial advisor,experienced,1,ggilbert4@umn.edu,342-482-0224,79 Schmedeman Hill,Rupiah,IDR,987.15,3.58E+15,2-May-17,-99,ËÎÆÜ
55-1043751,Feliza,Fletcher,21,785,sales associate,novice,6,ffletcher5@comsenz.com,973-227-0970,288 Sloan Drive,Euro,EUR,787.70,3.57E+15,29-Mar-17,-99,ÈÑÒÈÍÀ
07-8848940,Nikolos,Bangiard,54,931,sales associate,middle,14,nbangiard6@reverbnation.com,694-304-1372,67456 Farragut Terrace,Euro,EUR,580.50,4.91E+18,26-Jun-17,-99,ÈÑÒÈÍÀ
87-5860251,Ellene,Judson,64,461,assistant store manager,novice,4,ejudson7@google.com.au,736-703-0735,62 Pierstorff Street,Euro,EUR,511.85,4.91E+18,12-Feb-17,-99,ÈÑÒÈÍÀ
38-6779399,Shellysheldon,Clague,33,16,director of inside sales,expert,6,sclague8@europa.eu,560-152-6899,700 Hoffman Pass,Yuan Renminbi,CNY,950.06,3.03E+13,26-May-17,-99,ÈÑÒÈÍÀ
85-4498560,Carmelle,Linner,65,513,financial planner,expert,15,clinner9@imdb.com,705-598-9956,310 Rockefeller Place,Rupiah,IDR,732.09,3.72E+14,11-Dec-16,-99,ÈÑÒÈÍÀ
53-2117088,Carroll,Rawnsley,39,380,director of inside sales,experienced,13,crawnsleya@weibo.com,546-390-0249,4724 Green Park,Real,BRL,872.66,4.84E+15,4-Oct-17,-99,ÈÑÒÈÍÀ
53-5433336,Bryana,Cragell,46,974,sales associate,experienced,15,bcragellb@weebly.com,289-883-4068,2322 Elgar Crossing,Rupee,PKR,740.54,5.20E+15,20-Jun-17,-99,ËÎÆÜ
37-3141285,Kandy,Jozefiak,65,572,account executive,experienced,14,kjozefiakc@boston.com,301-298-7576,293 Sommers Way,Yuan Renminbi,CNY,935.85,2.02E+14,6-Jul-17,-99,ÈÑÒÈÍÀ
31-4645946,Rhodie,Bohje,40,851,director of inside sales,novice,12,rbohjed@nih.gov,336-455-2611,06 Myrtle Place,Zloty,PLN,557.65,3.03E+13,13-Dec-16,-99,ÈÑÒÈÍÀ
56-3907836,Thom,Cockburn,46,30,sales director,middle,4,tcockburne@google.com.br,552-727-6903,7108 Westridge Place,Zloty,PLN,675.24,3.59E+15,15-Apr-17,-99,ËÎÆÜ
07-8349340,Jone,Luquet,22,664,retail sales consultant,middle,7,jluquetf@boston.com,237-434-1864,1 Larry Center,Dollar,XCD,505.78,3.56E+15,2-Jun-17,-99,ÈÑÒÈÍÀ
82-4746336,Irv,Fuller,36,430,financial advisor,novice,1,ifullerg@indiegogo.com,308-640-6103,33 Merrick Junction,Krona,SEK,806.56,6.30E+18,7-Oct-17,-99,ËÎÆÜ
