employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
47-6364515,Megen,Fawssett,51,551,sales representative,expert,5,mfawssett0@shinystat.com,477-864-8344,2 Thompson Junction,Euro,EUR,943.06,3.55E+15,24-Sep-17,-99,ËÎÆÜ
99-6775701,Guy,Fermin,64,411,sales coordinator,middle,1,gfermin1@yellowpages.com,935-353-5603,82235 Manley Junction,Ruble,RUB,444.42,5.60E+15,14-Aug-17,-99,ËÎÆÜ
11-7859328,Gianna,Elcomb,26,823,sales coordinator,expert,1,gelcomb2@sciencedirect.com,823-435-3829,7 Ludington Way,Ruble,RUB,692.19,5.05E+15,17-Feb-17,-99,ËÎÆÜ
00-8527849,Kipper,Gillingwater,37,675,director of national sales,middle,9,kgillingwater3@discuz.net,379-131-2080,171 Russell Junction,Ruble,RUB,619.81,3.55E+15,10-Apr-17,-99,ËÎÆÜ
35-1257683,Yankee,Mawford,19,789,sales associate,novice,11,ymawford4@pcworld.com,648-693-9142,03 Rieder Trail,Peso,COP,504.27,3.54E+15,5-Jan-17,-99,ÈÑÒÈÍÀ
02-1829818,Kristo,Askew,43,519,sales associate,middle,3,kaskew5@360.cn,290-158-2756,2 Buell Park,Euro,EUR,398.34,3.54E+15,27-Sep-17,-99,ÈÑÒÈÍÀ
32-3368136,Barnie,Alennikov,33,380,retail sales consultant,expert,6,balennikov6@cbc.ca,163-316-0721,687 Mcbride Drive,Yen,JPY,384.84,5.51E+15,30-May-17,-99,ËÎÆÜ
49-6465159,Liam,Peartree,41,166,sales associate,experienced,11,lpeartree7@aol.com,416-929-1254,96 Vahlen Hill,Yuan Renminbi,CNY,761.10,5.64E+17,10-Jul-17,-99,ÈÑÒÈÍÀ
80-2599045,Kristine,Beernaert,50,931,sales director,expert,3,kbeernaert8@who.int,235-672-8090,95 Lerdahl Place,Yuan Renminbi,CNY,927.46,6.71E+16,7-Nov-17,-99,ËÎÆÜ
89-1787553,Jacinta,Salandino,19,424,sales representative,experienced,4,jsalandino9@senate.gov,705-944-6363,0 Talisman Crossing,Yuan Renminbi,CNY,704.70,3.53E+15,10-Apr-17,-99,ÈÑÒÈÍÀ
