employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
90-3382980,Wini,Tibbles,60,421,sales representative,experienced,5,wtibbles0@wired.com,230-302-5599,604 Sauthoff Point,Rial,YER,735.02,5.10E+15,6-Jun-17,-99,ÈÑÒÈÍÀ
28-4807404,Julie,Fletham,57,653,sales coordinator,middle,6,jfletham1@elpais.com,580-957-9996,32441 Service Hill,Koruna,CZK,949.86,5.61E+18,21-Nov-16,-99,ÈÑÒÈÍÀ
41-0762949,Helli,Shilton,63,483,store manager,middle,11,hshilton2@disqus.com,844-895-0002,6 Carey Park,Peso,COP,837.35,3.58E+15,8-Nov-17,-99,ËÎÆÜ
64-0402742,Laurette,Bushrod,45,178,sales associate,novice,7,lbushrod3@ifeng.com,735-597-9818,900 Mockingbird Avenue,Ruble,RUB,737.66,2.02E+14,1-Dec-16,-99,ËÎÆÜ
53-1619282,Carri,Swaffer,45,196,financial advisor,middle,3,cswaffer4@businessinsider.com,384-338-4369,3831 8th Street,Euro,EUR,845.91,3.53E+15,2-Nov-17,-99,ËÎÆÜ
75-7595953,Golda,Jovic,39,303,financial advisor,middle,2,gjovic5@amazon.co.uk,770-158-5855,89 Farwell Lane,Yuan Renminbi,CNY,463.73,2.02E+14,8-Jul-17,-99,ÈÑÒÈÍÀ
45-7520127,Federico,Eberst,41,590,sales representative,experienced,13,feberst6@scribd.com,848-516-4294,20545 Dottie Hill,Manat,TMT,701.81,3.59E+15,9-Feb-17,-99,ËÎÆÜ
68-2620450,Dew,Hartus,55,352,retail sales consultant,expert,14,dhartus7@senate.gov,493-402-1787,2 Summit Drive,Yuan Renminbi,CNY,363.56,5.61E+18,22-Dec-16,-99,ËÎÆÜ
72-8641322,Josh,Daughtery,62,482,financial planner,experienced,8,jdaughtery8@sun.com,139-443-7736,93586 Macpherson Crossing,Ruble,RUB,761.20,3.53E+15,3-Jul-17,-99,ËÎÆÜ
18-5101257,Clareta,Grumley,26,921,executive vice president of sales,expert,15,cgrumley9@house.gov,861-491-0767,3221 Westridge Point,Euro,EUR,549.45,3.54E+15,9-Mar-17,-99,ÈÑÒÈÍÀ
75-2343909,Evaleen,Kingsland,43,711,sales coordinator,middle,10,ekingslanda@vkontakte.ru,500-114-0697,6612 Badeau Alley,Koruna,CZK,409.66,3.59E+15,21-Jan-17,-99,ËÎÆÜ
08-9310630,Adi,Pietruszewicz,27,991,account executive,experienced,7,apietruszewiczb@statcounter.com,747-506-4496,55385 Golden Leaf Pass,Franc,XOF,490.09,3.58E+15,5-May-17,-99,ÈÑÒÈÍÀ
34-4246465,Xenia,Lamke,21,682,sales associate,novice,13,xlamkec@shop-pro.jp,884-404-1036,66 Melvin Circle,Rupiah,IDR,565.32,4.92E+15,8-Mar-17,-99,ÈÑÒÈÍÀ
87-3213812,Aveline,Tipperton,55,950,financial planner,middle,13,atippertond@smh.com.au,133-473-3307,83 Meadow Ridge Alley,Zloty,PLN,820.15,4.84E+15,30-Mar-17,-99,ÈÑÒÈÍÀ
52-9807742,Duffie,Leber,40,471,director of inside sales,novice,3,dlebere@live.com,367-298-9921,636 Tennyson Way,Koruna,CZK,698.52,3.57E+15,4-Jul-17,-99,ÈÑÒÈÍÀ
10-6973067,Evaleen,Kinzett,41,56,director of national sales,expert,9,ekinzettf@altervista.org,320-632-4932,31 Eagle Crest Pass,Euro,EUR,744.12,6.76E+15,8-Jun-17,-99,ÈÑÒÈÍÀ
63-4068240,Des,Vesque,25,227,director of inside sales,middle,2,dvesqueg@twitter.com,465-856-9338,5 Merry Parkway,Rial,IRR,530.65,5.10E+15,9-May-17,-99,ÈÑÒÈÍÀ
49-4306337,Spense,Timlett,43,869,executive vice president of sales,middle,9,stimletth@mtv.com,627-210-3261,4 Garrison Parkway,Krona,SEK,894.46,3.57E+15,30-Apr-17,-99,ËÎÆÜ
24-7008104,Stevy,Cardinal,38,796,sales associate,novice,7,scardinali@woothemes.com,250-548-9899,70465 Ruskin Road,Yen,JPY,872.13,3.55E+15,9-Jun-17,-99,ËÎÆÜ
03-8910648,Kaylee,Hammand,56,137,assistant store manager,novice,10,khammandj@1und1.de,621-468-6835,4295 Hermina Way,Zloty,PLN,569.73,5.89E+17,29-Jan-17,-99,ÈÑÒÈÍÀ
55-3830116,Constancy,Balma,52,139,sales representative,novice,10,cbalmak@zimbio.com,739-735-5016,18597 Hanson Avenue,Peso,COP,848.50,3.54E+15,27-Sep-17,-99,ËÎÆÜ
88-4660029,Tait,Rucklidge,59,527,sales associate,expert,3,trucklidgel@cbc.ca,343-217-0951,353 Harbort Avenue,Leu,MDL,499.19,3.56E+15,3-Mar-17,-99,ÈÑÒÈÍÀ
76-5747615,Lemmy,Blanket,25,277,director of inside sales,expert,8,lblanketm@nytimes.com,434-468-2628,01 American Street,Peso,ARS,794.78,5.00E+15,12-Jan-17,-99,ËÎÆÜ
74-2482240,Milissent,Goodrum,42,218,director of inside sales,middle,14,mgoodrumn@addthis.com,417-580-4288,680 Judy Pass,Yuan Renminbi,CNY,896.52,3.54E+15,18-Mar-17,-99,ÈÑÒÈÍÀ
98-9513673,Seumas,Jopp,47,135,executive vice president of sales,novice,8,sjoppo@typepad.com,360-671-6302,3234 Park Meadow Point,Euro,EUR,483.33,2.01E+14,11-Feb-17,-99,ËÎÆÜ
47-4975207,Adler,Gutch,54,235,store manager,novice,14,agutchp@artisteer.com,832-858-0363,36832 Fisk Terrace,Krona,SEK,973.71,6.76E+17,28-Feb-17,-99,ÈÑÒÈÍÀ
49-1324202,Janey,Wright,28,345,sales director,middle,14,jwrightq@xing.com,732-834-3638,926 Huxley Point,Taka,BDT,633.54,4.04E+15,18-Jul-17,-99,ÈÑÒÈÍÀ
72-5764897,Josephine,Piccard,40,860,director of inside sales,expert,13,jpiccardr@istockphoto.com,580-248-8526,1 Bay Center,Peso,PHP,628.44,6.76E+15,31-Dec-16,-99,ÈÑÒÈÍÀ
42-9538676,Abeu,Gutans,60,106,sales director,experienced,5,agutanss@home.pl,234-555-7679,3523 Badeau Crossing,Tenge,KZT,504.07,3.53E+15,11-Mar-17,-99,ÈÑÒÈÍÀ
