employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
39-2111552,Wallis,Keam,63,176,sales director,experienced,3,wkeam0@moonfruit.com,971-665-6019,9498 Dakota Way,Sol,PEN,609.09,6.77E+15,16-Jan-17,-99,ËÎÆÜ
32-3036526,Shanta,McGrey,18,359,sales associate,middle,3,smcgrey1@netvibes.com,558-775-8105,3 Vermont Trail,Yuan Renminbi,CNY,524.37,3.56E+15,27-Oct-17,-99,ËÎÆÜ
93-2228188,Salomon,Rochester,61,372,sales representative,middle,12,srochester2@deviantart.com,898-189-0403,1 North Place,Ruble,RUB,930.60,3.38E+14,1-Mar-17,-99,ÈÑÒÈÍÀ
53-9067505,Candide,Churms,58,527,director of inside sales,expert,12,cchurms3@adobe.com,493-825-9381,876 Bultman Pass,Euro,EUR,804.50,5.60E+15,6-Jul-17,-99,ËÎÆÜ
36-8630491,Alison,O'Hartigan,25,362,sales director,middle,8,aohartigan4@wikipedia.org,633-802-0425,58 Shoshone Trail,Rupiah,IDR,657.37,3.58E+15,24-Jul-17,-99,ËÎÆÜ
06-8297624,Marja,Coomber,62,88,executive vice president of sales,expert,1,mcoomber5@ocn.ne.jp,141-564-2328,345 Troy Road,Euro,EUR,707.62,3.53E+15,7-Feb-17,-99,ÈÑÒÈÍÀ
30-5896980,Rebecka,Bradly,55,872,assistant store manager,novice,4,rbradly6@google.ca,268-123-8145,6 Prentice Court,Ruble,RUB,669.33,5.60E+15,28-Mar-17,-99,ÈÑÒÈÍÀ
60-1398704,Danita,Gluyas,20,658,sales coordinator,experienced,6,dgluyas7@upenn.edu,333-235-6994,07627 Melody Court,Kwacha,ZMW,562.03,3.58E+15,13-Apr-17,-99,ËÎÆÜ
99-1811724,Darrel,Barrell,42,152,director of national sales,experienced,5,dbarrell8@spotify.com,813-990-5559,05464 Clemons Alley,Rupee,LKR,831.61,4.18E+15,11-Mar-17,-99,ÈÑÒÈÍÀ
31-2774221,Cheslie,Craine,23,329,financial advisor,novice,1,ccraine9@gov.uk,132-523-7004,9 Boyd Lane,Dollar,HKD,647.22,5.04E+17,18-Aug-17,-99,ÈÑÒÈÍÀ
96-1163800,Madelyn,McSporon,65,56,financial planner,middle,4,mmcsporona@soup.io,306-393-0791,448 Eastlawn Hill,Naira,NGN,915.57,4.91E+15,16-Nov-17,-99,ÈÑÒÈÍÀ
37-7675123,Klara,Medway,21,252,financial planner,novice,8,kmedwayb@google.nl,326-525-3403,90 Chinook Lane,Yuan Renminbi,CNY,641.53,3.55E+15,1-Sep-17,-99,ËÎÆÜ
40-7110008,Lindsay,Langmead,59,194,sales associate,middle,12,llangmeadc@ucsd.edu,877-242-2612,15702 Garrison Center,Yuan Renminbi,CNY,491.56,3.55E+15,15-Jan-17,-99,ÈÑÒÈÍÀ
29-5865295,Roley,Bastian,48,409,executive vice president of sales,middle,2,rbastiand@prlog.org,319-122-2671,132 Alpine Park,Peso,MXN,617.84,3.55E+15,22-Sep-17,-99,ÈÑÒÈÍÀ
99-5429414,Melly,Sowden,49,105,executive vice president of sales,expert,14,msowdene@smugmug.com,874-234-5571,4442 Sutteridge Trail,Peso,COP,353.86,3.54E+15,12-Aug-17,-99,ÈÑÒÈÍÀ
62-9056864,Benoit,Matanin,24,31,executive vice president of sales,middle,3,bmataninf@usgs.gov,693-571-3835,78417 Tennessee Plaza,Rupiah,IDR,690.22,6.30E+16,3-Dec-16,-99,ÈÑÒÈÍÀ
32-9890175,Susie,Skentelbery,63,287,sales director,experienced,8,sskentelberyg@sourceforge.net,367-236-0150,5706 Sherman Alley,Peso,CUP,579.64,3.56E+15,24-Jun-17,-99,ÈÑÒÈÍÀ
16-6955969,Gilligan,McGraith,41,82,assistant store manager,middle,7,gmcgraithh@sohu.com,608-945-3878,18769 Lakeland Avenue,Yuan Renminbi,CNY,380.83,3.58E+15,8-Nov-17,-99,ËÎÆÜ
65-3823188,Sheba,Wisden,43,533,retail sales consultant,middle,7,swisdeni@bandcamp.com,830-953-1610,32 Fisk Drive,Euro,EUR,864.73,3.56E+15,5-Feb-17,-99,ÈÑÒÈÍÀ
27-0604502,Arabella,Ferryman,22,178,sales coordinator,middle,10,aferrymanj@loc.gov,931-860-3127,85 Harper Crossing,Euro,EUR,907.86,3.57E+15,22-Jan-17,-99,ÈÑÒÈÍÀ
07-7755933,Pancho,Lamminam,61,701,assistant store manager,experienced,8,plamminamk@com.com,294-861-4795,2483 Hudson Place,Euro,EUR,393.16,4.90E+17,17-Jan-17,-99,ËÎÆÜ
24-7663221,Tuck,Shillitoe,41,444,financial advisor,middle,3,tshillitoel@artisteer.com,584-355-4971,5 Havey Pass,Rial,IRR,450.87,5.60E+18,19-Jul-17,-99,ËÎÆÜ
97-6252701,Angelika,Blacktin,55,118,store manager,novice,15,ablacktinm@soundcloud.com,587-380-3037,77 Cascade Parkway,Euro,EUR,610.77,3.54E+15,2-Jan-17,-99,ËÎÆÜ
19-1393118,Sherry,Doleman,35,538,sales director,expert,9,sdolemann@washington.edu,969-403-9496,064 New Castle Court,Peso,ARS,948.87,6.77E+18,17-Dec-16,-99,ÈÑÒÈÍÀ
32-6420519,Alix,Saxby,42,995,sales director,expert,3,asaxbyo@jalbum.net,306-270-2600,23 Toban Junction,Euro,EUR,591.50,3.58E+15,8-Jan-17,-99,ËÎÆÜ
86-5855732,Sorcha,Waddilove,52,747,financial advisor,experienced,2,swaddilovep@biblegateway.com,871-214-5933,3 Namekagon Parkway,Sol,PEN,764.93,3.56E+15,9-Oct-17,-99,ËÎÆÜ
98-4812441,Hewet,Mournian,44,203,sales representative,expert,11,hmournianq@umn.edu,534-832-1067,5 American Ash Road,Rupiah,IDR,788.96,3.54E+15,20-Mar-17,-99,ÈÑÒÈÍÀ
31-7131472,Ursulina,Kleinsmuntz,49,250,retail sales consultant,novice,10,ukleinsmuntzr@homestead.com,891-967-3373,528 Stang Street,Naira,NGN,709.67,3.57E+15,19-Jun-17,-99,ËÎÆÜ
23-4465360,Shepard,Weatherhill,62,404,retail sales consultant,expert,6,sweatherhills@360.cn,957-535-7126,787 Acker Park,Yuan Renminbi,CNY,784.30,3.53E+15,3-Mar-17,-99,ÈÑÒÈÍÀ
57-8664791,Luella,Lexa,49,533,sales representative,experienced,15,llexat@toplist.cz,601-289-0776,8 Dwight Terrace,Hryvnia,UAH,731.83,4.84E+15,14-Jun-17,-99,ËÎÆÜ
57-9167557,Vere,Liggens,59,314,assistant store manager,novice,7,vliggensu@trellian.com,259-919-0328,34412 Maple Wood Court,Dollar,CAD,536.69,3.38E+14,18-Aug-17,-99,ËÎÆÜ
39-6117658,Mair,Mayler,32,575,financial planner,experienced,8,mmaylerv@wikipedia.org,385-904-9655,7080 Kinsman Avenue,Rupiah,IDR,977.16,5.61E+18,17-Aug-17,-99,ËÎÆÜ
67-0013309,Nedi,Scullion,34,367,retail sales consultant,experienced,4,nscullionw@icq.com,671-847-7100,5 Magdeline Terrace,Guarani,PYG,429.43,3.58E+15,3-May-17,-99,ËÎÆÜ
