employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
68-5009211,Atlante,Dedham,56,742,sales associate,middle,5,adedham0@cdbaby.com,950-844-2494,43644 Carey Center,Yuan Renminbi,CNY,975.24,3.53E+15,16-Apr-17,-99,ÈÑÒÈÍÀ
08-1075605,Barty,Geertsen,30,465,sales associate,novice,11,bgeertsen1@army.mil,119-397-0862,4 Mandrake Court,Rupee,PKR,693.17,4.91E+15,22-Aug-17,-99,ÈÑÒÈÍÀ
64-2683290,Rhett,Salasar,20,955,sales representative,experienced,14,rsalasar2@scientificamerican.com,470-421-2182,69570 Coleman Junction,Peso,PHP,588.24,4.51E+15,7-Feb-17,-99,ÈÑÒÈÍÀ
56-5833235,Sabina,Crosetti,46,657,financial advisor,novice,9,scrosetti3@friendfeed.com,260-664-0158,8 Laurel Lane,Pound,SSP,485.34,3.55E+15,5-Jun-17,-99,ËÎÆÜ
39-1533327,Cilka,Mcall,26,659,director of national sales,middle,14,cmcall4@skype.com,302-758-9139,05760 Dennis Court,Peso,PHP,670.20,3.59E+15,17-Jul-17,-99,ËÎÆÜ
54-9081820,Bibbye,Wisson,18,619,retail sales consultant,experienced,5,bwisson5@issuu.com,866-265-7655,1 Jay Circle,Peso,PHP,476.78,3.55E+15,2-Oct-17,-99,ÈÑÒÈÍÀ
70-0191846,Athene,Thebeaud,41,232,director of national sales,expert,12,athebeaud6@discuz.net,318-953-1581,71556 Erie Road,Tenge,KZT,857.51,3.02E+13,7-Feb-17,-99,ËÎÆÜ
71-6819027,Dawna,Di Frisco,49,160,financial planner,novice,12,ddifrisco7@dion.ne.jp,152-964-2620,14 Anderson Trail,Peso,COP,566.26,6.38E+15,17-Sep-17,-99,ÈÑÒÈÍÀ
62-7791965,Maurizia,Adlem,40,541,sales coordinator,expert,6,madlem8@huffingtonpost.com,214-196-4836,05588 Sutteridge Lane,Yuan Renminbi,CNY,953.03,3.57E+15,10-Aug-17,-99,ËÎÆÜ
55-8689061,Patty,Haggleton,30,433,retail sales consultant,experienced,11,phaggleton9@nba.com,397-817-9013,7 Jenifer Point,Peso,COP,539.45,3.57E+15,17-Nov-17,-99,ËÎÆÜ
23-1686933,Ibby,Cowen,40,885,account executive,expert,14,icowena@tamu.edu,380-702-5551,1198 Surrey Lane,Peso,PHP,583.32,6.38E+15,15-May-17,-99,ÈÑÒÈÍÀ
56-4327000,Fania,Keyden,63,384,sales representative,expert,11,fkeydenb@time.com,388-303-3366,679 Katie Road,Rupiah,IDR,565.69,6.40E+15,30-May-17,-99,ËÎÆÜ
25-2795893,Tiffie,Sauvage,27,932,executive vice president of sales,experienced,8,tsauvagec@mlb.com,775-160-0028,70 Ruskin Crossing,Euro,EUR,857.63,3.58E+15,4-Apr-17,-99,ÈÑÒÈÍÀ
62-9199066,Adamo,L'Homme,57,120,director of national sales,experienced,15,alhommed@quantcast.com,714-644-6353,72 Service Center,Dollar,NZD,442.15,3.54E+15,7-Mar-17,-99,ÈÑÒÈÍÀ
20-9849319,Martino,Whiskerd,19,273,sales director,middle,1,mwhiskerde@ucoz.com,624-676-6647,8 Logan Lane,Krone,NOK,962.19,3.54E+15,4-Jun-17,-99,ËÎÆÜ
64-4366884,Tobin,Sunley,38,282,store manager,expert,9,tsunleyf@vkontakte.ru,544-395-8500,55 Mallory Place,Metical,MZN,784.80,4.51E+15,1-Jan-17,-99,ÈÑÒÈÍÀ
72-6298190,Josefa,Makey,48,317,sales representative,middle,7,jmakeyg@mit.edu,788-981-2999,79 Northridge Terrace,Rupee,PKR,762.89,3.74E+14,6-Jun-17,-99,ËÎÆÜ
49-8186038,Tammy,De Vaan,24,239,executive vice president of sales,experienced,8,tdevaanh@youtu.be,868-246-1276,8993 Sunbrook Drive,Yuan Renminbi,CNY,804.12,3.58E+15,4-Jul-17,-99,ËÎÆÜ
55-6877906,Elene,Kisbey,21,665,store manager,middle,12,ekisbeyi@odnoklassniki.ru,450-917-9393,7 Gina Plaza,Yuan Renminbi,CNY,640.78,5.42E+15,12-Jul-17,-99,ÈÑÒÈÍÀ
69-5159880,Buckie,Emsden,22,910,executive vice president of sales,middle,15,bemsdenj@networksolutions.com,362-538-3372,98348 Buhler Hill,Yuan Renminbi,CNY,674.38,3.53E+15,26-Jul-17,-99,ËÎÆÜ
97-9993601,Josey,McManamen,33,902,store manager,novice,2,jmcmanamenk@washington.edu,577-667-0756,96 1st Alley,Euro,EUR,477.01,5.56E+15,21-Jun-17,-99,ÈÑÒÈÍÀ
