SM3886507,Henry,Copeland,male,45,rbillyard0@g.co,TelephoneNumber,6461 Farwell Place,Lughaye,748,27-Jun-14,31-Dec-99,TRUE
QO1180255,Daniel,Combs,male,33,dhowsden1@de.vu,207-675-3981,206 Killdeer Court,Luxi,288,31-Jul-17,31-Dec-99,TRUE
BP8998118,Nicholas,Santos,male,19,sbinge2@mac.com,252-308-1128,67 Butternut Court,Mabasa,466,20-Jul-17,31-Dec-99,TRUE
ZT9476547,Glenn,West,male,20,bchmarny3@skype.com,404-596-7164,13388 Brentwood Point,Madalum,148,11-May-12,31-Dec-99,TRUE
WH6962478,Dawn,Johnson,female,48,estein4@japanpost.jp,308-692-2108,40 La Follette Hill,Madette,152,9-Sep-17,31-Dec-99,TRUE
MO0882862,Lyman,White,male,67,pwhinney5@paypal.com,973-729-7504,7 Rusk Circle,Aelande,222,1-Jan-17,31-Dec-99,TRUE
MP1673722,Lyman,Robinson,male,38,eandell6@wufoo.com,408-964-6946,12 Rowland Center,Agarsin,258,10-Sep-13,31-Dec-99,TRUE
RI0830403,Clinton,Copeland,male,51,rbeeching7@huffingtonpost.com,360-703-5473,1039 Jackson Way,Agarsin,258,27-Sep-17,31-Dec-99,TRUE
LD2316089,Nellie,Valentin,female,52,ggepp8@usatoday.com,917-256-6057,17 Morning Drive,Agbani,788,28-Nov-14,31-Dec-99,TRUE
IL0399369,George,Bolton,male,25,tbaxill9@webnode.com,701-374-5792,048 Armistice Point,Agbani,788,4-Nov-15,31-Dec-99,TRUE
KK4744461,Frederick,Baylor,male,66,ltimletta@paginegialle.it,715-813-3688,70 Badeau Trail,Aghavnatun,196,7-Jul-16,31-Dec-99,TRUE
NV1771847,Henry,Saucedo,male,75,atesdaleb@admin.ch,208-664-8346,86924 Beilfuss Terrace,Aghavnatun,196,19-May-13,31-Dec-99,TRUE
IG5832804,Benjamin,Barnes,male,26,tchristoffersenc@taobao.com,254-770-7802,820 Florence Terrace,Agodim,231,27-Jun-14,31-Dec-99,TRUE
ZI4049515,Gloria,Hernandez,female,48,bzellmerd@biglobe.ne.jp,843-230-8765,08226 Iowa Center,Agodim,231,31-Jul-17,31-Dec-99,TRUE
DE0073578,Elizabeth,Collins,female,42,vlabbee@godaddy.com,574-323-5983,11196 Straubel Alley,Aipe,226,20-Jul-17,31-Dec-99,TRUE
NO8526663,Jean,Garrett,female,56,djardinef@over-blog.com,719-481-0944,97543 Shasta Parkway,Aipe,226,11-May-12,31-Dec-99,TRUE
OG1462066,Kenny,Baker,male,66,arabatg@washingtonpost.com,865-973-6674,503 New Castle Plaza,Ajaccio,408,9-Sep-17,31-Dec-99,TRUE
JA9473758,Linda,Amundson,female,21,wvalentinettih@addthis.com,915-472-2827,0 Montana Court,Ajaccio,408,1-Jan-17,31-Dec-99,TRUE
HB2778397,Peter,Andrews,male,72,globlei@slashdot.org,903-864-8172,987 Transport Park,Al Ain,76,10-Sep-13,31-Dec-99,TRUE
UH4690546,Evelyn,Sewell,female,45,dmahoneyj@1688.com,573-979-2132,8434 Portage Alley,Al Ain,76,27-Sep-17,31-Dec-99,TRUE
UC2398683,Marguerite,Gould,female,37,jtareek@techcrunch.com,973-667-3934,81 Anzinger Way,Alegre,666,28-Nov-14,31-Dec-99,TRUE
SK3212168,Jonnie,Oliver,female,75,jdaltryl@umn.edu,970-384-3088,65159 Tennyson Junction,Alegre,666,4-Nov-15,31-Dec-99,TRUE
IR0773210,Cynthia,Rutan,female,25,cmayersm@constantcontact.com,916-323-9291,26161 Kings Street,Almeirim,831,7-Jul-16,31-Dec-99,TRUE
