9155;Сосунова;Татьяна;Афанасьевна;375297901273;njizhiu@rambler.ru;34;485945;1;01.11.2009;;HB;
6714;Шалаев;Алексей;Викторович;375297902000;tyakjo@adelite.com;40;513528;0;01.11.2009;01.11.2017;MP;
9110;Шпилевская;Олеся;Владимировна;375297902162;tyazhoo@rumail.ru;35;154662;0;01.11.2009;01.11.2017;KH;
8560;Семёнова;Татьяна;Романовна;375297901024;mofeeseg@lycos.com;30;501374;1;01.11.2009;;BM;
1424;Стальмахович;Анжелика;Алексеевна;375297901283;gusjov@google.com;43;401017;1;01.11.2009;;MC;
8886;Селиванова;Елена;Сергеевна;375297901008;shouhia@max.ru;40;552246;1;01.11.2009;;AB;
7283;Старцев;Евгений;Евгеньевич;375297901305;shyan_2000@newmail.ru;26;282178;1;01.11.2009;;MC;
4141;Синякова;Мария;Владимировна;375297901111;zyonyjya@hotbox.ru;38;550865;1;01.11.2009;;BM;
9703;Туманова;Ольга;Николаевна;375297901596;tjelio@rumail.ru;28;355418;1;01.11.2009;;MP;
7076;Поитолаки;Екатерина;Владимировна;375297900521;thafu@hotbox.com;50;377643;1;01.11.2009;;KB;
3725;Полежаев;Сергей;Александрович;375297900522;diunjaju@newmail.ru;30;700690;1;01.11.2009;;AB;
6452;Петрович;Дмитрий;Александрович;375297900403;vutajae@hob.ru;49;186364;1;01.11.2009;;MP;
6129;Рудоман;Яна;Степановна;375297900813;gyxaevya@netaddress.com;41;317191;1;01.11.2009;;MC;
8830;Роговцева;Алла;Николаевна;375297900741;riahee@umr.ru;42;536898;1;01.11.2009;;AB;
4557;Радюк;Марина;Михайловна;375297900672;thyegu@chat.ru;46;327257;1;01.11.2009;;MC;
9544;Сорокина;Светлана;Брониславовна;375297901262;sypyo@hotbox.com;39;685159;1;01.11.2009;;MC;
8935;Прокопович;Тамара;Евгеньевна;375297900594;niamyifoug@adelite.com;37;444377;1;01.11.2009;;MP;
2262;Скубилова;Елена;Александровна;375297901151;quiushiehjaj@infobiz.com;45;262612;1;01.11.2009;;MP;
7332;Фурс;Анатолий;Васильевич;375297901740;pioxufia@mail.ru;38;591655;1;01.11.2009;;BM;
2438;Янкова;Ирина;Николаевна;375297902301;jjiquolja@softhome.com;35;118940;0;01.11.2009;01.11.2017;BM;
7186;Царанюк;Юрий;Владимирович;375297901859;dyaliume@narod.ru;45;154307;0;01.11.2009;01.11.2017;AB;
3204;Строк;Александр;Владимирович;375297901362;jikyis@netaddress.com;43;320412;1;01.11.2009;;MC;
1833;Щербович;Ольга;Александровна;375297902212;schoc@inbox.ru;33;535365;0;01.11.2009;01.11.2017;KH;
5340;Шинкевич;Надежда;Константиновна;375297902126;xegooz@softhome.com;29;587260;0;01.11.2009;01.11.2017;KH;
3983;Руденец;Ольга;Ивановна;375297900800;cothyotja@netbox.com;39;490709;1;01.11.2009;;KB;
5336;Ясюлевич;Дмитрий;Феликсович;375297902349;thisch@langoo.com;25;681507;0;01.11.2009;01.11.2017;KB;
2605;Поляков;Вадим;Игоревич;375297900537;routhiomou@exn.ru;36;529229;1;01.11.2009;;AB;
8776;Симанькова;Наталья;Геннадьевна;375297901098;liuchjequyit@rambler.ru;42;393936;1;01.11.2009;;KH;
1372;Юрканис;Ирина;Вячеславовна;375297902236;doohaeth@pop3.ru;35;459335;0;01.11.2009;01.11.2017;KB;
